instrument_id,ticker,yahoo_symbol,company,sector,subsector,exchange,region,asset_type,primary_source,secondary_source,fred_series_id,source_url_yahoo,source_url_fred,market_timezone,market_close_local,refresh_group,is_active,theme_energy,theme_shipping,theme_china,theme_war,theme_liquidity,notes,source_notes,theme_rates,theme_credit
AJG,AJG,AJG,Arthur J. Gallagher & Co.,Insurance Broker,Commercial Insurance / Benefits / P&C brokerage,NYSE,USA / Global,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/AJG,,America/New_York,16:00,US_EOD,True,,,,,,Exposición indirecta a líneas marine y transport; Broker diversificado,Bloomberg; Refinitiv,,
AON,AON,AON,Aon plc,Insurance Broker,Commercial Insurance / Reinsurance Brokerage,NYSE,Global,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/AON,,America/New_York,16:00,US_EOD,True,,,,,,Exposición a coberturas corporativas; Relevante para pricing de riesgo,Bloomberg; Refinitiv,,
MMC,MMC,MMC,"Marsh & McLennan Companies, Inc.",Insurance Broker,Commercial Insurance / Reinsurance Brokerage,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/MMC,,America/New_York,16:00,US_EOD,True,,,,,,Exposición indirecta a marine / logistics risk; “MRSH” no es el ticker; el correcto es MMC,Bloomberg; Refinitiv,,
TRV,TRV,TRV,"The Travelers Companies, Inc.",Insurer,P&C Insurance,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/TRV,,America/New_York,16:00,US_EOD,True,,,,,,"Exposición indirecta a transporte / property-casualty; No broker, sino aseguradora",Bloomberg; Refinitiv,,
CHRW,CHRW,CHRW,"C.H. Robinson Worldwide, Inc.",Logistics,3PL / Brokerage,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/CHRW,,America/New_York,16:00,US_EOD,True,,,,,,Intermediación logística; Referencia de brokerage freight USA,Bloomberg; Refinitiv,,
EXPD,EXPD,EXPD,"Expeditors International of Washington, Inc.",Logistics,Freight Forwarding,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/EXPD,,America/New_York,16:00,US_EOD,True,,,,,,Proxy asset-light de forwarding; Alta sensibilidad a volúmenes y yields,Bloomberg; Refinitiv,,
FDX,FDX,FDX,FedEx Corporation,Logistics,Parcel / Integrated,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/FDX,,America/New_York,16:00,US_EOD,True,,,,,,Player global de transporte exprés; Sensible a demanda industrial y e-commerce,Bloomberg; Refinitiv,,
GXO,GXO,GXO,"GXO Logistics, Inc.",Logistics,Contract Logistics,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/GXO,,America/New_York,16:00,US_EOD,True,,,,,,"Exposición a fulfillment y warehousing; Menor exposición directa a océano, sí a cadena logística",Bloomberg; Refinitiv,,
UPS,UPS,UPS,"United Parcel Service, Inc.",Logistics,Parcel / Integrated,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/UPS,,America/New_York,16:00,US_EOD,True,,,,,,Player global de paquetería y supply chain; Proxy de actividad logística y B2B shipments,Bloomberg; Refinitiv,,
XPO,XPO,XPO,"XPO, Inc.",Logistics,LTL / Brokerage / Logistics,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/XPO,,America/New_York,16:00,US_EOD,True,,,,,,Player de transporte terrestre y logística; Señal de actividad industrial / domestic freight,Bloomberg; Refinitiv,,
CUSTOM,CUSTOM,CUSTOM,Logistics Circle / Transmission Basket,Logistics Circle,Logistics Ecosystem,User-defined,Global,Basket / Custom,Bloomberg,Bloomberg; Refinitiv,,,,UTC,23:30,GLOBAL_DAILY,True,,,,,,Cesta de players y cotizantes; Conviene construir basket temático,Bloomberg; Refinitiv,,
DAC,DAC,DAC,Danaos Corporation,Ocean Shipping,Containership Lessor,NYSE,Global / Greece-linked,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/DAC,,America/New_York,16:00,US_EOD,True,,,,,,Owner / lessor con sensibilidad a charter rates; Exposición a time charters,Bloomberg; Refinitiv,,
MATX,MATX,MATX,"Matson, Inc.",Ocean Shipping,Jones Act / Ocean Transport,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/MATX,,America/New_York,16:00,US_EOD,True,,,,,,Exposición marítima e intermodal; Más defensivo que liners globales,Bloomberg; Refinitiv,,
ZIM,ZIM,ZIM,ZIM Integrated Shipping Services Ltd.,Ocean Shipping,Container Shipping,NYSE,Israel / Global,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/ZIM,,America/New_York,16:00,US_EOD,True,,,,,,Pure play de contenedores; Muy sensible a freight rates spot,Bloomberg; Refinitiv,,
CNI,CNI,CNI,Canadian National Railway Company,Rail,Class I Railroad,NYSE,Canada,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/CNI,,America/New_York,16:00,US_EOD,True,,,,,,Red transfronteriza Canadá-USA; Fuerte componente intermodal y puertos,Bloomberg; Refinitiv,,
CP,CP,CP,Canadian Pacific Kansas City Limited,Rail,Class I Railroad,NYSE,Canada,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/CP,,America/New_York,16:00,US_EOD,True,,,,,,Red Norteamérica integrada; Ticker histórico citado como CP,Bloomberg; Refinitiv,,
NSC,NSC,NSC,Norfolk Southern Corporation,Rail,Class I Railroad,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/NSC,,America/New_York,16:00,US_EOD,True,,,,,,Benchmark rail USA este; Intermodal / mercancías industriales,Bloomberg; Refinitiv,,
UNP,UNP,UNP,Union Pacific Corporation,Rail,Class I Railroad,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/UNP,,America/New_York,16:00,US_EOD,True,,,,,,Benchmark rail USA oeste; Alta exposición a intermodal e industrial,Bloomberg; Refinitiv,,
DGS2,DGS2,DGS2,2-Year Treasury Constant Maturity Rate,Rates,US Treasury Yield,,USA,Macro Series,FRED,,DGS2,,https://fred.stlouisfed.org/series/DGS2,America/New_York,16:00,US_EOD,True,,,,,,FRED macro series,FRED,,
DGS30,DGS30,DGS30,30-Year Treasury Constant Maturity Rate,Rates,US Treasury Yield,,USA,Macro Series,FRED,,DGS30,,https://fred.stlouisfed.org/series/DGS30,America/New_York,16:00,US_EOD,True,,,,,,FRED macro series,FRED,,
INSURANCE_COST_PROXY,INSURANCE COST PROXY,INSURANCE COST PROXY,Marine Insurance / Coverage Cost Proxy,Risk / Insurance,Coverage Cost,Provider-dependent,Global,Composite / Custom,Bloomberg,Bloomberg; Refinitiv,,,,UTC,23:30,GLOBAL_DAILY,True,,,,,,"Señal de prima / hardening market; Suele modelarse con proxies, no con un ticker único",Bloomberg; Refinitiv,,
WORLD_RISK___CUSTOM,WORLD RISK / CUSTOM,WORLD RISK / CUSTOM,World Risk Proxy,Risk / Insurance,World Risk,Provider-dependent,Global,Composite / Custom,Bloomberg,Bloomberg; Refinitiv,,,,UTC,23:30,GLOBAL_DAILY,True,,,,,,Señal de riesgo sistémico; Requiere definición exacta del índice fuente,Bloomberg; Refinitiv,,
PPES___CUSTOM_BASKET,PPES / CUSTOM BASKET,PPES / CUSTOM BASKET,Transport Sector Basket / Proxy,Sector Index,Transport Sector,User-defined / provider-dependent,Global,Basket / Custom,Bloomberg,Bloomberg; Refinitiv,,,,UTC,23:30,GLOBAL_DAILY,True,,,,,,Cesta sectorial temática; “PPES” requiere definición exacta del vendor,Bloomberg; Refinitiv,,
BCTI,BCTI,BCTI,Baltic Clean Tanker Index,Shipping Benchmark,Clean Tanker Freight,Baltic Exchange,Global,Index,Bloomberg,Bloomberg; Refinitiv,,,,UTC,23:30,GLOBAL_DAILY,True,,,,,,Benchmark de tanker limpio; Proxy de rutas de productos refinados,Bloomberg; Refinitiv,,
BDI,BDI,BDI,Baltic Dry Index,Shipping Benchmark,Dry Bulk Freight,Baltic Exchange,Global,Index,Bloomberg,Bloomberg; Refinitiv,,,,UTC,23:30,GLOBAL_DAILY,True,,,,,,"Benchmark principal de fletes secos; Índice spot de dry bulk, no equity",Bloomberg; Refinitiv,,
BDTI,BDTI,BDTI,Baltic Dirty Tanker Index,Shipping Benchmark,Dirty Tanker Freight,Baltic Exchange,Global,Index,Bloomberg,Bloomberg; Refinitiv,,,,UTC,23:30,GLOBAL_DAILY,True,,,,,,Benchmark de tanker sucio; Proxy de rutas de crudo,Bloomberg; Refinitiv,,
TICKER,TICKER,TICKER,Company,Subsector,Exchange,Region,Asset_Type,Data_Providers,Yahoo Finance,Notas,,https://finance.yahoo.com/quote/TICKER,,America/New_York,16:00,US_EOD,True,,,,,,,,,
AAPL,AAPL,AAPL,Apple Inc.,Technology,Consumer Electronics,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv; Yahoo,,https://finance.yahoo.com/quote/AAPL,,America/New_York,16:00,US_EOD,True,1.0,2.0,3.0,2.0,1.0,Alta dependencia supply chain China,Bloomberg; Refinitiv; Yahoo,,
ADBE,ADBE,ADBE,Adobe Inc.,Technology,Software,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/ADBE,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,SaaS puro,Bloomberg; Refinitiv,,
AMAT,AMAT,AMAT,Applied Materials,Technology,Semiconductor Equipment,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/AMAT,,America/New_York,16:00,US_EOD,True,1.0,1.0,3.0,2.0,1.0,Capex chips,Bloomberg; Refinitiv,,
AMD,AMD,AMD,AMD,Technology,Semiconductors,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/AMD,,America/New_York,16:00,US_EOD,True,1.0,2.0,3.0,2.0,1.0,Fabless model,Bloomberg; Refinitiv,,
ANET,ANET,ANET,Arista Networks,Technology,Networking,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/ANET,,America/New_York,16:00,US_EOD,True,1.0,1.0,2.0,1.0,1.0,Data centers,Bloomberg; Refinitiv,,
ARM,ARM,ARM,ARM Holdings,Technology,Chip Design,NASDAQ,UK/USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/ARM,,America/New_York,16:00,US_EOD,True,0.0,1.0,3.0,2.0,1.0,Arquitectura global,Bloomberg; Refinitiv,,
ASML,ASML,ASML,ASML,Technology,Semiconductor Equipment,Euronext/NASDAQ,EU,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/ASML,,America/New_York,16:00,US_EOD,True,1.0,1.0,3.0,2.0,1.0,Monopolio crítico,Bloomberg; Refinitiv,,
AVGO,AVGO,AVGO,Broadcom Inc.,Technology,Semiconductors,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/AVGO,,America/New_York,16:00,US_EOD,True,1.0,1.0,2.0,2.0,1.0,Infraestructura crítica,Bloomberg; Refinitiv,,
CDNS,CDNS,CDNS,Cadence,Technology,EDA Software,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/CDNS,,America/New_York,16:00,US_EOD,True,0.0,0.0,2.0,1.0,1.0,Duopolio,Bloomberg; Refinitiv,,
CRWD,CRWD,CRWD,CrowdStrike,Technology,Cybersecurity,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/CRWD,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,3.0,1.0,Riesgo geopolítico,Bloomberg; Refinitiv,,
CSCO,CSCO,CSCO,Cisco Systems,Technology,Networking,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/CSCO,,America/New_York,16:00,US_EOD,True,1.0,1.0,2.0,2.0,1.0,Infraestructura crítica,Bloomberg; Refinitiv,,
DDOG,DDOG,DDOG,Datadog,Technology,Observability,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/DDOG,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,Infra cloud,Bloomberg; Refinitiv,,
FTNT,FTNT,FTNT,Fortinet,Technology,Cybersecurity,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/FTNT,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,3.0,1.0,Similar PANW,Bloomberg; Refinitiv,,
GOOG,GOOG,GOOG,Alphabet Inc. C,Technology,Ads & Cloud,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/GOOG,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,Sin voto,Bloomberg; Refinitiv,,
GOOGL,GOOGL,GOOGL,Alphabet Inc. A,Technology,Ads & Cloud,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/GOOGL,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,Dual class shares,Bloomberg; Refinitiv,,
INTC,INTC,INTC,Intel,Technology,Semiconductors,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/INTC,,America/New_York,16:00,US_EOD,True,1.0,1.0,2.0,2.0,1.0,Fabricación local,Bloomberg; Refinitiv,,
INTU,INTU,INTU,Intuit,Technology,Financial Software,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/INTU,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,Defensivo software,Bloomberg; Refinitiv,,
KLAC,KLAC,KLAC,KLA,Technology,Semiconductor Equipment,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/KLAC,,America/New_York,16:00,US_EOD,True,1.0,1.0,3.0,2.0,1.0,Similar AMAT,Bloomberg; Refinitiv,,
LRCX,LRCX,LRCX,Lam Research,Technology,Semiconductor Equipment,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/LRCX,,America/New_York,16:00,US_EOD,True,1.0,1.0,3.0,2.0,1.0,Alta exposición Asia,Bloomberg; Refinitiv,,
MDB,MDB,MDB,MongoDB,Technology,Database,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/MDB,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,Data infra,Bloomberg; Refinitiv,,
META,META,META,Meta Platforms,Technology,Social Media,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/META,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,Baja exposición física,Bloomberg; Refinitiv,,
MRVL,MRVL,MRVL,Marvell,Technology,Semiconductors,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/MRVL,,America/New_York,16:00,US_EOD,True,1.0,1.0,3.0,2.0,1.0,Data centers,Bloomberg; Refinitiv,,
MSFT,MSFT,MSFT,Microsoft Corp.,Technology,Software & Cloud,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/MSFT,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,Alta resiliencia global,Bloomberg; Refinitiv,,
MU,MU,MU,Micron,Technology,Memory,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/MU,,America/New_York,16:00,US_EOD,True,1.0,2.0,3.0,2.0,1.0,Alta ciclicidad,Bloomberg; Refinitiv,,
NET,NET,NET,Cloudflare,Technology,Web Infrastructure,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/NET,,America/New_York,16:00,US_EOD,True,0.0,1.0,2.0,2.0,1.0,Edge network,Bloomberg; Refinitiv,,
NOW,NOW,NOW,ServiceNow,Technology,SaaS,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/NOW,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,Enterprise software,Bloomberg; Refinitiv,,
NVDA,NVDA,NVDA,NVIDIA Corp.,Technology,Semiconductors (AI),NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/NVDA,,America/New_York,16:00,US_EOD,True,1.0,2.0,3.0,2.0,1.0,Dependencia TSMC Asia,Bloomberg; Refinitiv,,
NXPI,NXPI,NXPI,NXP Semiconductors,Technology,Semiconductors,NASDAQ,USA/EU,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/NXPI,,America/New_York,16:00,US_EOD,True,1.0,1.0,3.0,2.0,1.0,Auto + industrial,Bloomberg; Refinitiv,,
PANW,PANW,PANW,Palo Alto,Technology,Cybersecurity,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/PANW,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,3.0,1.0,Beneficia conflictos,Bloomberg; Refinitiv,,
QCOM,QCOM,QCOM,Qualcomm,Technology,Semiconductors,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/QCOM,,America/New_York,16:00,US_EOD,True,1.0,1.0,3.0,2.0,1.0,Dependencia Asia,Bloomberg; Refinitiv,,
SHOP,SHOP,SHOP,Shopify,Technology,E-commerce Platform,NASDAQ,CAN,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/SHOP,,America/New_York,16:00,US_EOD,True,1.0,2.0,1.0,1.0,2.0,SMB exposure,Bloomberg; Refinitiv,,
SMCI,SMCI,SMCI,Super Micro,Technology,AI Servers,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/SMCI,,America/New_York,16:00,US_EOD,True,1.0,1.0,2.0,2.0,2.0,Alta beta IA,Bloomberg; Refinitiv,,
SNOW,SNOW,SNOW,Snowflake,Technology,Data Cloud,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/SNOW,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,2.0,Data infra,Bloomberg; Refinitiv,,
SNPS,SNPS,SNPS,Synopsys,Technology,EDA Software,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/SNPS,,America/New_York,16:00,US_EOD,True,0.0,0.0,2.0,1.0,1.0,Duopolio,Bloomberg; Refinitiv,,
TXN,TXN,TXN,Texas Instruments,Technology,Analog Semiconductors,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/TXN,,America/New_York,16:00,US_EOD,True,1.0,1.0,2.0,1.0,1.0,Menos cíclico,Bloomberg; Refinitiv,,
ZS,ZS,ZS,Zscaler,Technology,Cybersecurity,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/ZS,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,2.0,1.0,Zero trust,Bloomberg; Refinitiv,,
ENERGÍA,ENERGÍA,ENERGÍA,,,,,,,Yahoo Finance,,,https://finance.yahoo.com/quote/ENERGÍA,,America/New_York,16:00,US_EOD,True,,,,,,,,,
FREIGHTS_FLETES_LOGISTICA_SEGUROS_TRANSPORTES_CONTENEDORES,FREIGHTS FLETES LOGISTICA SEGUROS TRANSPORTES CONTENEDORES,FREIGHTS FLETES LOGISTICA SEGUROS TRANSPORTES CONTENEDORES,,,,,,,,,,,,UTC,23:30,GLOBAL_DAILY,True,,,,,,,,,
